id,name,categories,difficulty,solved
1470D,"Strange Housing","constructive algorithms;dfs and similar;graph matchings;graphs;greedy",2200,2297
1470C,"Strange Shuffle","binary search;brute force;constructive algorithms;interactive",2500,937
1470B,"Strange Definition","bitmasks;graphs;hashing;math;number theory",1900,4447
1470A,"Strange Birthday Party","binary search;dp;greedy;sortings;two pointers",1300,12952
1469F,"Power Sockets","binary search;data structures;greedy",2600,561
1469E,"A Bit Similar","bitmasks;brute force;hashing;string suffix structures;strings;two pointers",2400,1355
1469D,"Ceil Divisions","brute force;constructive algorithms;math;number theory",1700,6374
1469C,"Building a Fence","dp;greedy;implementation;two pointers",1600,7221
1469B,"Red and Blue","dp;greedy",1000,15895
1469A,"Regular Bracket Sequence","constructive algorithms;greedy",1000,17341
1468N,"Waste Sorting","greedy;implementation",900,4972
1468M,"Similar Sets","data structures;graphs;implementation",2300,470
1468L,"Prime Divisors Selection","binary search;greedy;math;number theory",2700,205
1468K,"The Robot","brute force;implementation",1600,3111
1468J,"Road Reform","dsu;graphs;greedy",1800,2007
1468I,"Plane Tiling","geometry;implementation;math",2500,319
1468H,"K and Medians","constructive algorithms;greedy;math",2200,1173
1468G,"Hobbits","binary search;geometry",2500,551
1468F,"Full Turn","geometry;hashing;number theory",1700,2262
1468E,"Four Segments","greedy",800,5889
1468D,"Firecrackers","binary search;sortings",1700,2572
1468C,"Berpizza","data structures;implementation",1400,3684
1468B,"Bakery","data structures;dsu",2900,94
1468A,"LaIS","data structures;dp;greedy",2200,982
1467E,"Distinctive Roots in a Tree","data structures;dfs and similar;dp;trees",2500,808
1467D,"Sum of Paths","combinatorics;dp;math",2200,2563
1467C,"Three Bags","constructive algorithms;greedy",1900,4497
1467B,"Hills And Valleys","brute force;implementation",1700,7746
1467A,"Wizard of Orz","constructive algorithms;greedy;math",900,17736
1466I,"The Riddle of the Sphinx","binary search;data structures;data structures;interactive",3400,85
1466H,"Finding satisfactory solutions","combinatorics;dp;graphs;greedy;math",3300,75
1466G,"Song of the Sirens","combinatorics;divide and conquer;hashing;math;string suffix structures;strings",2600,588
1466F,"Euclid's nightmare","bitmasks;dfs and similar;dsu;graphs;greedy;math;sortings",2100,2320
1466E,"Apollo versus Pan","bitmasks;brute force;math",1800,5032
1466D,"13th Labour of Heracles","data structures;greedy;sortings;trees",1500,8177
1466C,"Canine poetry","dp;greedy;strings",1300,12240
1466B,"Last minute enhancements","dp;greedy",800,17543
1466A,"Bovine Dilemma","brute force;geometry;math",800,18806
1464F,"My Beautiful Madness","data structures;trees",3500,53
1463F,"Max Correct Set","bitmasks;dp;math",3100,189
1463E,"Plan of Lectures","constructive algorithms;dfs and similar;dsu;graphs;implementation;sortings;trees",2400,958
1463D,"Pairs","binary search;constructive algorithms;greedy;two pointers",1900,2995
1463C,"Busy Robot","implementation",1800,4033
1463B,"Find The Array","bitmasks;constructive algorithms;greedy",1400,10818
1463A,"Dungeon","binary search;math",1100,15072
1462F,"The Treasure of The Segments","binary search;data structures;greedy",1800,4112
1462E2,"Close Tuples (hard version)","binary search;combinatorics;implementation;math;sortings;two pointers",1700,5420
1462E1,"Close Tuples (easy version)","binary search;combinatorics;math;sortings;two pointers",1500,8019
1462D,"Add to Neighbour and Remove","greedy;math;number theory",1400,9976
1462C,"Unique Number","brute force;greedy;math",900,18362
1462B,"Last Year's Substring","dp;implementation;strings",800,18747
1462A,"Favorite Sequence","implementation;two pointers",800,22936
1461F,"Mathematical Expression","constructive algorithms;dp;greedy",2700,328
1461E,"Water Level","brute force;graphs;greedy;implementation;math",2200,1641
1461D,"Divide and Summarize","binary search;brute force;data structures;divide and conquer;implementation;sortings",1600,5950
1461C,"Random Events","dp;math;probabilities",1500,7352
1461B,"Find the Spruce","brute force;dp;implementation",1400,8772
1461A,"String Generation","constructive algorithms;greedy",800,15412
1459B,"Move and Turn","dp;math",1300,8911
1459A,"Red-Blue Shuffle","math;probabilities",800,13188
1458F,"Range Diameter Sum","data structures;trees",3500,67
1458E,"Nim Shortcuts","data structures;games",3100,192
1458D,"Flip and Reverse","data structures;graphs;greedy",3100,336
1458C,"Latin Square","math;matrices",2700,636
1458B,"Glass Half Spilled","dp",2000,2215
1458A,"Row GCD","math;number theory",1600,8303
1456E,"XOR-ranges","dp;greedy",3500,74
1455G,"Forbidden Value","data structures;dp",2900,156
1455F,"String and Operations","dp;greedy",2800,258
1455E,"Four Points","brute force;constructive algorithms;flows;geometry;greedy;implementation;math;ternary search",2400,1047
1455D,"Sequence and Swaps","dp;greedy;sortings",1600,8004
1455C,"Ping-pong","constructive algorithms;games;math",1100,14307
1455B,"Jumps","constructive algorithms;math",1200,14133
1455A,"Strange Functions","math;number theory",800,19511
1454F,"Array Partition","binary search;data structures;greedy;two pointers",2100,2505
1454E,"Number of Simple Paths","combinatorics;dfs and similar;graphs;trees",2000,3658
1454D,"Number into Sequence","constructive algorithms;math;number theory",1300,12253
1454C,"Sequence Transformation","greedy;implementation",1200,14431
1454B,"Unique Bid Auction","implementation",800,20109
1454A,"Special Permutation","constructive algorithms;probabilities",800,24806
1453F,"Even Harder","dp",2700,455
1453E,"Dog Snacks","binary search;dfs and similar;dp;greedy;trees",2300,1408
1453D,"Checkpoints","brute force;constructive algorithms;greedy;math;probabilities",1900,3151
1453C,"Triangles","greedy;implementation",1700,4720
1453B,"Suffix Operations","constructive algorithms;implementation",1400,9072
1453A,"Cancel the Trains","implementation",800,17249
1452G,"Game On Tree","data structures;dfs and similar;greedy;trees",2700,165
1452F,"Divide Powers","constructive algorithms;greedy",2900,170
1452E,"Two Editorials","brute force;dp;greedy;sortings;two pointers",2500,1111
1452D,"Radio Towers","combinatorics;dp;math",1600,5564
1452C,"Two Brackets","greedy",800,14806
1452B,"Toy Blocks","binary search;greedy;math;sortings",1400,9641
